x,y,z,pnt,edge
0.624880210133708,0.441373478474610,-1.2868849145806,5,0
-0.154644814436380,-0.921246475438784,-1.169938023426022,5,0
1.226478866828171,-0.739092535252874,-0.436861521412211,5,0
-1.298814047093898,-0.73722647605102,-0.1046148920981450,5,0
1.298800966744947,0.737249899055052,0.1046253737404800,5,0
-0.0375131496131030,1.46753215195055,-0.293785562218070,5,0
0.93583485684188,-0.442540618406190,1.081540344272505,5,0
0.037532620457202,-1.46752667720881,0.293805718419462,5,0
-0.62486539287938,-0.441335608988840,1.286904158214026,5,0
-0.935821668134505,0.442582964997933,-1.08153331056670,5,0
0.154659658719488,0.921265341912230,1.169922385332839,5,0
-1.226454376969270,0.739128732862373,0.436871820129620,5,0
