x,y,z,pnt,edge
0.708197571484869,0.500223275604558,-1.4584695698581,5,0
-0.175264123027897,-1.044079338830621,-1.325929759882825,5,0
1.390009382405260,-0.837638206619923,-0.495109724267172,5,0
-1.471989253373084,-0.83552333952449,-0.1185635443778980,5,0
1.471974428977607,0.835549885595726,0.1185754235725440,5,0
-0.0425149028948501,1.66320310554396,-0.332956970513813,5,0
1.06061283775413,-0.501546034193682,1.225745723508839,5,0
0.042536969851496,-1.66319690083666,0.332979814208724,5,0
-0.70818077859663,-0.500180356854019,1.458491379309229,5,0
-1.060597890552439,0.501594026997657,-1.22573775197559,5,0
0.175280946548753,1.044100720833861,1.325912036710550,5,0
-1.389981627231839,0.837679230577356,0.495121396146903,5,0
